Balance Sheet,Bank,Bank (group),Bank (group) 1,Country,Rank,Total Assets Us B
31-12-2017,ABN AMRO Group NV,Other,Other,Netherlands,65,470.965
31-12-2017,Agricultural Bank of China,Agricultural Bank of China,Agricultural Bank of China,China,3,3232.68
30-06-2017,Agricultural Development Bank of China,Other,Other,China,38,873.419
30-09-2017,Australia & New Zealand Banking Group,Other,Other,Australia,47,700.352
31-12-2017,Banco Bradesco SA,Other,Other,Brazil,82,365.493
31-12-2017,Banco do Brasil SA,Other,Other,Brazil,71,413.147
31-12-2017,Banco Sabadell,Other,Other,Spain,101,265.145
31-12-2017,Banco Santander,Banco Santander,Other,Spain,18,1730.08
31-12-2017,Bank of America,Bank of America,Other,USA,9,2281.23
30-09-2017,Bank of Beijing,Other,Other,China,84,349.354
31-12-2017,Bank of China,Other,Bank of China,China,4,2989.16
31-12-2017,Bank of Communications,Bank of Communications,Other,China,22,1387.79
30-09-2017,Bank of Jiangsu,Other,Other,China,100,266.798
31-12-2017,Bank of Montreal,Other,Other,Canada,55,578.53
31-12-2017,Bank of New York Mellon Corp,Other,Other,USA,79,371.758
31-12-2017,Bank of Nova Scotia,Other,Other,Canada,44,754.509
30-09-2017,Bank of Shanghai,Other,Other,China,97,270.242
31-12-2017,Bankia,Other,Other,Spain,106,256.261
31-12-2017,Barclays PLC,Other,Other,UK,19,1528.89
30-06-2017,Bayerische Landesbank,Other,Other,Germany,102,264.668
31-12-2017,BB&T Corporation,Other,Other,USA,115,221.642
31-12-2017,BBVA,Other,Other,Spain,42,826.597
31-12-2017,Belfius,Other,Other,Belgium,120,201.192
31-12-2017,BNP Paribas,Other,Other,France,8,2348.11
30-09-2017,Brazilian Development Bank (BNDES),Other,Other,Brazil,104,262.087
30-09-2017,Caixa Economica Federal,Other,Other,Brazil,76,383.261
31-12-2017,CaixaBank,Other,Other,Spain,68,459.005
31-12-2017,Canadian Imperial Bank of Commerce,Other,Other,Canada,63,483.791
31-12-2017,Capital One Financial Corporation,Other,Other,USA,81,365.693
30-06-2017,Cassa Depositi e Prestiti (CDP),Other,Other,Italy,61,496.74
30-09-2017,Cathay Financial Holding,Other,Other,Taiwan,94,293.554
31-12-2017,Charles Schwab Corp,Other,Other,USA,107,243.274
30-09-2017,China CITIC Bank Corp,Other,Other,China,41,832.996
31-12-2017,China Construction Bank Corp,China Construction Bank Corp,China Construction Bank Corp,China,2,3397.13
31-12-2016,China Development Bank,China Development Bank,China Development Bank,China,10,2201.86
31-12-2017,China Everbright Bank,Other,Other,China,53,627.737
31-12-2016,China Guangfa Bank (CGB),Other,Other,China,91,314.401
31-12-2017,China Merchants Bank,Other,Other,China,32,966.117
30-09-2017,China Minsheng Banking Corp,Other,Other,China,39,859.407
30-06-2017,China ZheShang Bank (CZBank),Other,Other,China,114,223.148
31-12-2017,Citigroup Inc,Citigroup Inc,Other,USA,16,1843.06
31-12-2017,Commerzbank,Other,Other,Germany,59,541.434
31-12-2017,Commonwealth Bank of Australia,Other,Other,Australia,45,750.775
31-12-2017,Credit Agricole Group,Other,Credit Agricole Group,France,11,2112.04
31-12-2016,Credit Mutuel,Other,Other,France,34,950.531
31-12-2017,Credit Suisse Group,Other,Other,Switzerland,43,815.587
31-12-2017,Danske Bank,Other,Other,Denmark,57,569.335
31-12-2017,DBS Group Holdings,Other,Other,Singapore,75,387.252
31-12-2017,Deutsche Bank,Deutsche Bank,Other,Germany,17,1766.85
30-06-2017,Dexia,Other,Other,Belgium,108,238.847
31-12-2017,DnB ASA,Other,Other,Norway,90,328.267
31-12-2017,DZ Bank AG,Other,Other,Germany,54,605.64
31-12-2017,Erste Group Bank AG,Other,Other,Austria,103,264.319
31-12-2016,European Investment Bank,Other,Other,Luxembourg,49,686.653
